game_zone,logical_utc_day,start_utc_half_hour,hours_to_game_begin,avg_leq,super_bowl_sunday
Non-game States,2/7/21,22_0,-1.5,66.11693003090423,Yes
Non-game States,2/14/21,6_0,6.5,54.07987214,No
Non-game States,2/7/21,2_0,2.5,65.76909738842913,Yes
Non-game States,2/14/21,0_0,0.5,65.91370628524335,No
Non-game States,2/7/21,0_0,0.5,67.20883476331238,Yes
Non-game States,2/14/21,5_1,6,55.586303486064054,No
Non-game States,2/7/21,20_1,-3,65.55198304,Yes
Non-game States,2/14/21,4_0,4.5,60.19500109735301,No
Non-game States,2/7/21,3_0,3.5,64.12576209606415,Yes
Non-game States,2/7/21,1_1,2,66.47421317769479,Yes
Non-game States,2/7/21,7_0,7.5,50.52261451973604,Yes
Non-game States,2/14/21,18_0,-5.5,65.51806750485325,No
Non-game States,2/14/21,2_1,3,63.38743159665634,No
Non-game States,2/7/21,18_0,-5.5,65.36830283,Yes
Non-game States,2/14/21,7_1,8,50.35810428090097,No
Non-game States,2/7/21,3_1,4,62.41398286569945,Yes
Non-game States,2/7/21,17_1,-6,65.22092473948514,Yes
Non-game States,2/14/21,19_0,-4.5,65.35601152454248,No
Non-game States,2/14/21,23_0,-0.5,65.81861890381246,No
Non-game States,2/14/21,3_1,4,61.45467251647577,No
Non-game States,2/14/21,2_0,2.5,64.20433339181376,No
Non-game States,2/7/21,2_1,3,64.74036433088037,Yes
Non-game States,2/7/21,19_1,-4,65.44567546548288,Yes
Game States,2/14/21,21_1,-2,66.25841640495138,No
Non-game States,2/14/21,8_1,9,48.95896122959313,No
Game States,2/7/21,19_1,-4,66.28037933557347,Yes
Non-game States,2/14/21,18_1,-5,65.48139379891997,No
Non-game States,2/14/21,20_0,-3.5,65.33454487814916,No
Non-game States,2/7/21,20_0,-3.5,65.44341469949568,Yes
Non-game States,2/14/21,23_1,0,65.93382820783047,No
Non-game States,2/14/21,0_1,1,65.53728287642143,No
Non-game States,2/7/21,22_1,-1,66.41338428665077,Yes
Non-game States,2/7/21,0_1,1,66.93614177979536,Yes
Non-game States,2/7/21,21_0,-2.5,65.53262308788986,Yes
Non-game States,2/7/21,7_1,8,49.707097906139424,Yes
Non-game States,2/7/21,23_0,-0.5,66.92469695391753,Yes
Non-game States,2/7/21,4_0,4.5,60.10235008,Yes
Non-game States,2/7/21,5_0,5.5,56.28938936079024,Yes
Non-game States,2/14/21,9_0,9.5,48.61626471350249,No
Game States,2/14/21,19_1,-4,66.36087920833333,No
Game States,2/7/21,4_0,4.5,58.815446789135095,Yes
Non-game States,2/14/21,3_0,3.5,62.54422504474871,No
Non-game States,2/14/21,4_1,5,58.64936388852037,No
Non-game States,2/14/21,21_1,-2,65.33723765323828,No
Non-game States,2/14/21,7_0,7.5,51.29028479640209,No
Non-game States,2/14/21,5_0,5.5,57.18521980879812,No
Non-game States,2/7/21,4_1,5,58.18727455171012,Yes
Non-game States,2/7/21,9_0,9.5,48.36606093,Yes
Non-game States,2/14/21,8_0,8.5,49.575213873816246,No
Game States,2/7/21,0_0,0.5,69.08698317594654,Yes
Non-game States,2/14/21,1_0,1.5,65.23828420433583,No
Non-game States,2/14/21,19_1,-4,65.38731947313427,No
Non-game States,2/14/21,22_0,-1.5,65.48015350965684,No
