super_bowl_sunday,start_utc_half_hour,hours_to_game_begin,avg_leq
No,5_0,5.5,56.837298892304396
Yes,21_0,-2.5,66.30746690977647
Yes,22_0,-1.5,66.80262447453174
No,6_0,6.5,53.790558539219994
Yes,19_1,-4,66.37123826321523
Yes,17_1,-6,66.29894740260198
Yes,20_1,-3,66.29021654749026
Yes,7_0,7.5,50.81956380122102
Yes,0_1,1,68.05542381302051
Yes,8_0,8.5,49.51216408
Yes,6_0,6.5,53.09209734628213
No,3_0,3.5,62.711889745732186
No,20_0,-3.5,66.50654343768335
No,22_0,-1.5,66.47843278251032
Yes,18_0,-5.5,66.49601668
No,7_0,7.5,51.41122705880553
No,4_0,4.5,60.003156402571314
Yes,2_0,2.5,66.68474561785251
No,0_0,0.5,66.64991797402985
Yes,0_0,0.5,68.31845714
No,5_1,6,55.23242053836581
No,1_0,1.5,65.88693830375973
No,21_1,-2,66.38130802014162
Yes,20_0,-3.5,66.34977223783002
No,21_0,-2.5,66.40328253212708
No,2_1,3,63.67291293281868
No,1_1,2,65.28975278328444
No,2_0,2.5,64.60263697946598
Yes,3_0,3.5,65.41182416
Yes,4_0,4.5,61.10882213742106
Yes,7_1,8,50.040876601946266
Yes,6_1,7,51.80390279134766
Yes,1_1,2,67.64734501460138
Yes,23_1,0,68.11523501956881
No,0_1,1,66.30337462918551
No,3_1,4,61.449271753023055
No,7_1,8,50.584045495616174
No,23_0,-0.5,66.75469056979298
No,6_1,7,52.483800641257766
Yes,5_0,5.5,56.47946350572171
No,18_0,-5.5,66.62517294370753
Yes,22_1,-1,67.25058314213392
Yes,18_1,-5,66.51122503511033
No,4_1,5,58.39194393639043
No,22_1,-1,66.58821520544804
Yes,19_0,-4.5,66.47656403371481
Yes,2_1,3,66.13073733628413
Yes,1_0,1.5,67.75268099114999
No,9_0,9.5,49.27083450435489
No,8_0,8.5,49.943000912809524
Yes,3_1,4,63.803680583228974
Yes,21_1,-2,66.43287692798856
No,19_0,-4.5,66.64557703954355
Yes,23_0,-0.5,67.85179348302768
No,23_1,0,66.74876769579218
Yes,8_1,9,49.18201698459443
No,19_1,-4,66.57598054367419
No,8_1,9,49.51039431883065
Yes,5_1,6,54.61494930242643
Yes,4_1,5,58.60901717887223
No,20_1,-3,66.44059022938285
No,18_1,-5,66.65913359878175
No,17_1,-6,66.40031275845425
Yes,9_0,9.5,49.07264770262407
